user,anomaly_score,status,login_count,after_hours_logins,weekend_logins,unique_computers,device_activity,usb_connections,after_hours_usb,weekend_usb,usb_unique_computers,file_activity,after_hours_files,weekend_files,email_count,after_hours_emails,weekend_emails,attachment_count,web_activity,after_hours_web,weekend_web,O,C,E,A,N,after_hours_total,weekend_total,total_behavior_activity,after_hours_flag,weekend_flag,usb_flag,file_flag,attachment_flag,risk_indicator,risk_category
EIS0041,-0.1216760184698254,Anomaly,1661,1243.0,0.0,622,2644.0,1323.0,899.0,0.0,607.0,3676.0,2266.0,0.0,3287,349.0,0.0,1999,39270,3925.0,0.0,41,44,17,48,30,8682.0,0.0,50538.0,1,0,1,1,1,4,High
HDS0367,-0.1176221618985182,Anomaly,1655,915.0,0.0,630,2722.0,1364.0,870.0,0.0,613.0,3406.0,2095.0,0.0,3626,0.0,0.0,2764,39420,0.0,0.0,50,42,16,30,19,3880.0,0.0,50829.0,1,0,1,1,1,4,High
OBH0499,-0.1029569209310825,Anomaly,907,36.0,173.0,2,7395.0,3706.0,11.0,695.0,1.0,594.0,3.0,98.0,6229,0.0,1170.0,3589,69822,423.0,13122.0,35,18,41,16,34,473.0,15258.0,84947.0,1,1,1,1,1,5,High
MPM0220,-0.1018932398706735,Anomaly,1085,814.0,1.0,456,4978.0,2494.0,731.0,0.0,440.0,6689.0,1696.0,0.0,2307,201.0,0.0,530,24551,2730.0,0.0,35,20,42,22,20,6172.0,1.0,39610.0,1,1,1,1,1,5,High
IRM0931,-0.1016165670982079,Anomaly,1063,545.0,271.0,2,1004.0,505.0,53.0,129.0,1.0,2278.0,152.0,617.0,4157,599.0,1063.0,2780,45315,6136.0,11590.0,44,46,33,35,30,7485.0,13670.0,53817.0,1,1,1,1,1,5,High
LBF0214,-0.1002560193233422,Anomaly,1015,544.0,232.0,2,941.0,471.0,36.0,107.0,1.0,1236.0,51.0,301.0,6135,487.0,1399.0,3348,68400,5435.0,15450.0,18,44,18,38,28,6553.0,17489.0,77727.0,1,1,1,1,1,5,High
ATE0869,-0.0958781980980451,Anomaly,903,496.0,250.0,4,419.0,210.0,12.0,61.0,1.0,522.0,8.0,166.0,7519,345.0,2092.0,4531,74205,3200.0,20349.0,13,15,40,44,33,4061.0,22918.0,83568.0,1,1,1,1,1,5,High
JDC0030,-0.0877695580779422,Anomaly,894,8.0,233.0,3,380.0,190.0,12.0,51.0,1.0,724.0,76.0,212.0,5071,798.0,1367.0,4003,54378,8708.0,14592.0,31,18,19,21,26,9602.0,16455.0,61447.0,1,1,1,1,1,5,High
WPR0368,-0.0614259398012517,Anomaly,1735,1062.0,325.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4534,0.0,820.0,879,48533,0.0,8778.0,48,34,40,17,31,1062.0,9923.0,54802.0,1,1,0,0,1,3,Medium
HRL0540,-0.0588135063350119,Anomaly,643,18.0,0.0,2,5924.0,2968.0,867.0,0.0,1.0,1777.0,556.0,0.0,2988,1045.0,0.0,1721,34400,10019.0,0.0,43,38,17,40,18,12505.0,0.0,45732.0,1,0,1,1,1,4,High
BJM0111,-0.0562823457164547,Anomaly,442,72.0,34.0,1,5821.0,2919.0,53.0,123.0,1.0,7841.0,258.0,343.0,1082,62.0,48.0,712,10672,580.0,464.0,22,24,39,41,19,1025.0,1012.0,25858.0,1,1,1,1,1,5,High
LRR0148,-0.0464252582315423,Anomaly,841,454.0,104.0,3,1569.0,788.0,107.0,92.0,1.0,907.0,97.0,112.0,5427,727.0,671.0,2719,57200,7594.0,7007.0,21,19,14,14,29,8979.0,7986.0,65944.0,1,1,1,1,1,5,High
ESJ0670,-0.0395480253919919,Anomaly,515,211.0,129.0,3,366.0,185.0,3.0,40.0,1.0,3303.0,12.0,690.0,4582,72.0,1159.0,911,44650,457.0,11305.0,42,31,15,40,24,755.0,13323.0,53416.0,1,1,1,1,1,5,High
RZC0746,-0.0382023275950479,Anomaly,925,222.0,241.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6893,119.0,1745.0,3457,77760,690.0,20088.0,15,38,33,43,26,1031.0,22074.0,85578.0,1,1,0,0,1,3,Medium
HAD0246,-0.0379043121776574,Anomaly,1047,314.0,311.0,2,424.0,214.0,4.0,61.0,1.0,315.0,0.0,66.0,4820,107.0,1377.0,2781,46740,1377.0,13300.0,44,39,32,45,38,1802.0,15115.0,53346.0,1,1,1,1,1,5,High
BRM0995,-0.0377738595740747,Anomaly,642,21.0,0.0,4,5932.0,2973.0,852.0,0.0,1.0,590.0,174.0,0.0,3044,816.0,0.0,1665,34600,10080.0,0.0,20,11,32,26,40,11943.0,0.0,44808.0,1,0,1,1,1,4,High
TDS0984,-0.037306092669306,Anomaly,836,438.0,161.0,39,346.0,174.0,8.0,31.0,1.0,3378.0,63.0,655.0,3735,187.0,694.0,678,40850,1928.0,7600.0,39,39,15,40,38,2624.0,9141.0,49145.0,1,1,1,1,1,5,High
NOB0181,-0.0369125170577473,Anomaly,961,500.0,245.0,3,1047.0,527.0,44.0,139.0,1.0,1703.0,106.0,473.0,1368,206.0,351.0,788,12852,1867.0,3267.0,31,21,21,41,25,2723.0,4475.0,17931.0,1,1,1,1,1,5,High
MOS0047,-0.035970302440375,Anomaly,895,657.0,0.0,416,1774.0,888.0,480.0,0.0,391.0,1593.0,1099.0,0.0,1892,176.0,0.0,1532,20118,1911.0,0.0,49,39,24,34,23,4323.0,0.0,26272.0,1,0,1,1,1,4,High
CCA0046,-0.0348733538847179,Anomaly,804,713.0,0.0,447,1511.0,758.0,489.0,0.0,430.0,1678.0,1236.0,0.0,2157,210.0,0.0,1191,22744,2138.0,0.0,36,43,25,15,28,4786.0,0.0,28894.0,1,0,1,1,1,4,High
AVM0947,-0.0343260861979125,Anomaly,375,367.0,0.0,30,5984.0,2998.0,304.0,0.0,1.0,7701.0,656.0,0.0,337,42.0,0.0,74,3114,423.0,0.0,10,25,30,44,39,1792.0,0.0,17511.0,1,0,1,1,1,4,High
KKW0879,-0.0336338652464419,Anomaly,451,407.0,37.0,2,6501.0,3257.0,111.0,232.0,1.0,1534.0,26.0,137.0,5158,244.0,372.0,1229,61722,2973.0,4374.0,36,42,21,31,27,3761.0,5152.0,75366.0,1,1,1,1,1,5,High
BDI0533,-0.0325308096474866,Anomaly,862,0.0,187.0,2,1840.0,922.0,0.0,197.0,1.0,2458.0,0.0,522.0,1302,0.0,285.0,706,13530,0.0,2970.0,37,36,15,41,19,0.0,4161.0,19992.0,0,1,1,1,1,4,High
SAA0999,-0.0299802618601721,Anomaly,630,0.0,0.0,2,5971.0,2992.0,325.0,0.0,1.0,8468.0,1038.0,0.0,3016,423.0,0.0,1796,31140,4340.0,0.0,20,17,34,11,36,6126.0,0.0,49225.0,1,0,1,1,1,4,High
MLM0950,-0.028380234157483,Anomaly,840,450.0,153.0,3,1694.0,850.0,100.0,160.0,1.0,2752.0,215.0,502.0,404,44.0,72.0,297,4210,598.0,750.0,24,20,29,23,36,1407.0,1637.0,9900.0,1,1,1,1,1,5,High
BMG0917,-0.0279853795269419,Anomaly,638,21.0,3.0,1,5955.0,2981.0,397.0,0.0,1.0,7692.0,1129.0,0.0,3039,513.0,0.0,617,34600,5539.0,0.0,43,36,41,23,34,7599.0,3.0,51924.0,1,1,1,1,1,5,High
WIQ0567,-0.0271978033439785,Anomaly,798,0.0,174.0,1,867.0,437.0,0.0,78.0,1.0,1955.0,1.0,371.0,3876,47.0,799.0,2824,41990,548.0,8835.0,25,41,10,47,39,596.0,10257.0,49486.0,1,1,1,1,1,5,High
AOK0844,-0.0248281323943555,Anomaly,746,31.0,209.0,15,809.0,407.0,49.0,135.0,1.0,1321.0,215.0,433.0,370,68.0,111.0,211,3830,782.0,1120.0,11,30,44,26,31,1145.0,2008.0,7076.0,1,1,1,1,1,5,High
HDD0806,-0.0239990931949187,Anomaly,903,18.0,226.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4143,967.0,1022.0,758,44840,10426.0,11210.0,47,28,36,19,38,11411.0,12458.0,49886.0,1,1,0,0,1,3,Medium
AJR0319,-0.0194993346214279,Anomaly,812,446.0,181.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6434,329.0,1411.0,3286,72252,3265.0,15876.0,40,13,37,16,24,4040.0,17468.0,79498.0,1,1,0,0,1,3,Medium
BRB0355,-0.0184456490769041,Anomaly,949,0.0,214.0,3,1792.0,898.0,0.0,202.0,1.0,712.0,0.0,137.0,4389,0.0,969.0,2421,45500,0.0,10100.0,33,21,37,19,29,0.0,11622.0,53342.0,0,1,1,1,1,4,High
BVC0790,-0.0176926259978256,Anomaly,960,57.0,192.0,3,1749.0,879.0,14.0,166.0,1.0,975.0,24.0,201.0,3768,220.0,736.0,2055,41135,2135.0,8075.0,24,18,18,36,38,2450.0,9370.0,48587.0,1,1,1,1,1,5,High
NWK0215,-0.0149266073790051,Anomaly,853,497.0,184.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5547,283.0,1174.0,3678,63492,4331.0,13585.0,21,19,45,18,24,5111.0,14943.0,69892.0,1,1,0,0,1,3,Medium
FKK0055,-0.0111907675956137,Anomaly,856,0.0,213.0,3,344.0,172.0,0.0,38.0,1.0,601.0,0.0,129.0,4039,0.0,1010.0,3275,46400,0.0,11500.0,46,16,37,16,27,0.0,12890.0,52240.0,0,1,1,1,1,4,High
IIW0249,-0.0109547900623039,Anomaly,435,207.0,47.0,21,6735.0,3375.0,41.0,342.0,1.0,473.0,4.0,23.0,3402,53.0,346.0,691,37145,615.0,3800.0,39,36,43,38,28,920.0,4558.0,48190.0,1,1,1,1,1,5,High
JDF0593,-0.0089411930194565,Anomaly,805,76.0,38.0,3,6296.0,3153.0,138.0,131.0,1.0,403.0,25.0,14.0,351,32.0,12.0,72,3670,403.0,150.0,30,45,11,41,29,674.0,345.0,11525.0,1,1,1,1,1,5,High
CMB0912,-0.0070677074222308,Anomaly,860,458.0,140.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5723,797.0,960.0,3165,60489,7425.0,10010.0,46,43,16,22,31,8680.0,11110.0,67072.0,1,1,0,0,1,3,Medium
HRB0351,-0.0029390108838377,Anomaly,723,170.0,63.0,38,264.0,133.0,2.0,9.0,1.0,2662.0,8.0,189.0,6750,165.0,574.0,1404,72770,1456.0,6270.0,19,12,43,42,36,1801.0,7105.0,83169.0,1,1,1,1,1,5,High
KBP0008,-0.002323510814738,Anomaly,733,363.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9145,1338.0,0.0,4575,103800,15744.0,0.0,23,18,40,11,34,17445.0,0.0,113678.0,1,0,0,0,1,2,Medium
RAW0915,-0.0004850600485343,Anomaly,762,16.0,94.0,28,872.0,438.0,69.0,62.0,1.0,459.0,104.0,50.0,3490,591.0,398.0,2019,40300,6852.0,4900.0,43,50,21,43,24,7632.0,5504.0,45883.0,1,1,1,1,1,5,High
