user,risk_score,risk_level,anomaly_score,login_count,after_hours_logins,weekend_logins,usb_connections,after_hours_usb,file_activity,after_hours_files,email_count,after_hours_emails,web_activity,after_hours_web,unique_computers,explanation
BSS0369,78.77132488202513,High,-0.1502879392422846,962,569.0,180.0,2740.0,543.0,2295.0,1301.0,2300,0.0,28561,87.0,504,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Very high USB usage; Activity across many computers
LBF0214,78.15422769684477,High,-0.1002560193233422,1015,544.0,232.0,471.0,36.0,1236.0,51.0,6135,487.0,68400,5435.0,2,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high web activity; Very high email activity
ATE0869,78.12487786665275,High,-0.0958781980980451,903,496.0,250.0,210.0,12.0,522.0,8.0,7519,345.0,74205,3200.0,4,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; Very high web activity; Very high email activity
MOH0273,75.7011988807891,High,-0.1270163394998459,401,401.0,53.0,3155.0,278.0,9306.0,748.0,3463,381.0,38095,3796.0,1,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage; Very high file activity
IRM0931,75.67863010837311,High,-0.1016165670982079,1063,545.0,271.0,505.0,53.0,2278.0,152.0,4157,599.0,45315,6136.0,2,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity
JDC0030,75.17386995120512,High,-0.0877695580779422,894,8.0,233.0,190.0,12.0,724.0,76.0,5071,798.0,54378,8708.0,3,Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity
MPM0220,72.30012906826954,Medium,-0.1018932398706735,1085,814.0,1.0,2494.0,731.0,6689.0,1696.0,2307,201.0,24551,2730.0,456,High after-hours login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage; Very high file activity; Activity across many computers
LRR0148,71.61825298495854,Medium,-0.0464252582315423,841,454.0,104.0,788.0,107.0,907.0,97.0,5427,727.0,57200,7594.0,3,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high web activity; Very high email activity
KKW0879,69.62456618848285,Medium,-0.0336338652464419,451,407.0,37.0,3257.0,111.0,1534.0,26.0,5158,244.0,61722,2973.0,2,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; Very high USB usage; Very high web activity
TDS0984,68.09428306764458,Medium,-0.037306092669306,836,438.0,161.0,174.0,8.0,3378.0,63.0,3735,187.0,40850,1928.0,39,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; Very high file activity; Activity across many computers
ESJ0670,67.7821443565937,Medium,-0.0395480253919919,515,211.0,129.0,185.0,3.0,3303.0,12.0,4582,72.0,44650,457.0,3,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; Very high file activity
HRL0540,66.84929937134254,Medium,-0.0588135063350119,643,18.0,0.0,2968.0,867.0,1777.0,556.0,2988,1045.0,34400,10019.0,2,USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage
HRB0351,66.55232626854783,Medium,-0.0029390108838377,723,170.0,63.0,133.0,2.0,2662.0,8.0,6750,165.0,72770,1456.0,38,Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; Very high file activity; Very high web activity; Very high email activity; Activity across many computers
BRM0995,66.36968205066157,Medium,-0.0377738595740747,642,21.0,0.0,2973.0,852.0,590.0,174.0,3044,816.0,34600,10080.0,4,USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage
HAD0246,65.79536299883199,Medium,-0.0379043121776574,1047,314.0,311.0,214.0,4.0,315.0,0.0,4820,107.0,46740,1377.0,2,Unusual weekend login activity; USB activity outside normal hours; Email activity outside normal hours
BRB0355,65.13802495956291,Medium,-0.0184456490769041,949,0.0,214.0,898.0,0.0,712.0,0.0,4389,0.0,45500,0.0,3,Unusual weekend login activity
BVC0790,64.89196366169172,Medium,-0.0176926259978256,960,57.0,192.0,879.0,14.0,975.0,24.0,3768,220.0,41135,2135.0,3,Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity
WPR0368,63.6273766334802,Medium,-0.0614259398012517,1735,1062.0,325.0,0.0,0.0,0.0,0.0,4534,0.0,48533,0.0,720,High after-hours login activity; Unusual weekend login activity; Activity across many computers
IIW0249,63.43074825099798,Medium,-0.0109547900623039,435,207.0,47.0,3375.0,41.0,473.0,4.0,3402,53.0,37145,615.0,21,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; Very high USB usage
FKK0055,63.01073156464027,Medium,-0.0111907675956137,856,0.0,213.0,172.0,0.0,601.0,0.0,4039,0.0,46400,0.0,3,Unusual weekend login activity
RZC0746,62.90375464303196,Medium,-0.0382023275950479,925,222.0,241.0,0.0,0.0,0.0,0.0,6893,119.0,77760,690.0,10,Unusual weekend login activity; Email activity outside normal hours; Very high web activity; Very high email activity
CCA0046,62.46456079931717,Medium,-0.0348733538847179,804,713.0,0.0,758.0,489.0,1678.0,1236.0,2157,210.0,22744,2138.0,447,High after-hours login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Activity across many computers
MOS0047,62.409236180455956,Medium,-0.035970302440375,895,657.0,0.0,888.0,480.0,1593.0,1099.0,1892,176.0,20118,1911.0,416,High after-hours login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Activity across many computers
SAA0999,62.26137352590787,Medium,-0.0299802618601721,630,0.0,0.0,2992.0,325.0,8468.0,1038.0,3016,423.0,31140,4340.0,2,USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage; Very high file activity
WIQ0567,62.14025184753514,Medium,-0.0271978033439785,798,0.0,174.0,437.0,0.0,1955.0,1.0,3876,47.0,41990,548.0,1,Unusual weekend login activity; File activity outside normal hours; Email activity outside normal hours
RAW0915,61.8157290160577,Medium,-0.0004850600485343,762,16.0,94.0,438.0,69.0,459.0,104.0,3490,591.0,40300,6852.0,28,Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity
BMG0917,61.45499631478846,Medium,-0.0279853795269419,638,21.0,3.0,2981.0,397.0,7692.0,1129.0,3039,513.0,34600,5539.0,1,USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage; Very high file activity
NOB0181,60.62493963257314,Medium,-0.0369125170577473,961,500.0,245.0,527.0,44.0,1703.0,106.0,1368,206.0,12852,1867.0,3,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity
BJM0111,60.15423745859674,Medium,-0.0562823457164547,442,72.0,34.0,2919.0,53.0,7841.0,258.0,1082,62.0,10672,580.0,1,Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage; Very high file activity
BDI0533,59.83506308667721,Medium,-0.0325308096474866,862,0.0,187.0,922.0,0.0,2458.0,0.0,1302,0.0,13530,0.0,2,Unusual weekend login activity; Very high file activity
CMB0912,58.587910880138196,Medium,-0.0070677074222308,860,458.0,140.0,0.0,0.0,0.0,0.0,5723,797.0,60489,7425.0,46,High after-hours login activity; Unusual weekend login activity; Email activity outside normal hours; High after-hours web activity; Very high web activity; Very high email activity; Activity across many computers
HDD0806,57.954713330061914,Medium,-0.0239990931949187,903,18.0,226.0,0.0,0.0,0.0,0.0,4143,967.0,44840,10426.0,26,Unusual weekend login activity; Email activity outside normal hours; High after-hours web activity
AVM0947,57.94638664456659,Medium,-0.0343260861979125,375,367.0,0.0,2998.0,304.0,7701.0,656.0,337,42.0,3114,423.0,30,High after-hours login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage; Very high file activity
MLM0950,57.42051310223247,Medium,-0.028380234157483,840,450.0,153.0,850.0,100.0,2752.0,215.0,404,44.0,4210,598.0,3,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high file activity
KBP0008,56.69690420933419,Medium,-0.002323510814738,733,363.0,0.0,0.0,0.0,0.0,0.0,9145,1338.0,103800,15744.0,2,High after-hours login activity; Email activity outside normal hours; High after-hours web activity; Very high web activity; Very high email activity
AOK0844,56.56307750458915,Medium,-0.0248281323943555,746,31.0,209.0,407.0,49.0,1321.0,215.0,370,68.0,3830,782.0,15,Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity
AJR0319,55.70083667039895,Medium,-0.0194993346214279,812,446.0,181.0,0.0,0.0,0.0,0.0,6434,329.0,72252,3265.0,1,High after-hours login activity; Unusual weekend login activity; Email activity outside normal hours; Very high web activity; Very high email activity
NWK0215,54.72107017168318,Medium,-0.0149266073790051,853,497.0,184.0,0.0,0.0,0.0,0.0,5547,283.0,63492,4331.0,1,High after-hours login activity; Unusual weekend login activity; Email activity outside normal hours; High after-hours web activity; Very high web activity; Very high email activity
JDF0593,53.89783453388576,Medium,-0.0089411930194565,805,76.0,38.0,3153.0,138.0,403.0,25.0,351,32.0,3670,403.0,3,USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage
