user,login_count,after_hours_logins,weekend_logins,unique_computers,device_activity,usb_connections,after_hours_usb,weekend_usb,usb_unique_computers,file_activity,after_hours_files,weekend_files,email_count,after_hours_emails,weekend_emails,attachment_count,web_activity,after_hours_web,weekend_web,O,C,E,A,N
ADD0846,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,53.0,0.0,173,3460,699.0,0.0,18,19,25,12,35
ADF0397,346,165.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3038,422.0,0.0,621,32870,4110.0,0.0,39,16,10,40,35
AES0827,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,58.0,0.0,0,3450,671.0,0.0,39,40,34,38,23
AGB0186,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003,131.0,0.0,0,10034,1358.0,0.0,18,10,41,15,35
AGB0643,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012,289.0,0.0,368,10034,2913.0,0.0,32,39,20,44,27
AHC0142,755,391.0,66.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3382,323.0,286.0,1844,36670,3794.0,3135.0,34,23,40,15,26
AHD0848,731,13.0,55.0,22,299.0,150.0,17.0,18.0,1.0,199.0,30.0,19.0,376,62.0,31.0,271,3820,790.0,310.0,24,30,49,16,30
AHG0634,294,3.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463,141.0,0.0,251,4740,1433.0,0.0,31,36,42,41,27
AHM0410,725,178.0,6.0,3,782.0,394.0,3.0,4.0,1.0,2198.0,3.0,22.0,3063,89.0,27.0,1931,33440,612.0,285.0,34,43,15,18,26
AIB0948,741,405.0,0.0,34,5963.0,2990.0,308.0,0.0,1.0,1669.0,140.0,0.0,328,41.0,0.0,66,3460,506.0,0.0,42,31,27,20,31
AIH0675,346,162.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994,32.0,0.0,1267,32775,514.0,0.0,25,39,38,40,37
AIM0627,346,150.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5009,89.0,0.0,0,55890,525.0,0.0,36,39,16,41,23
AIP0394,643,206.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3044,468.0,0.0,1809,32775,4295.0,0.0,17,16,38,14,26
AIP0982,636,347.0,0.0,2,729.0,366.0,16.0,0.0,1.0,6182.0,116.0,0.0,3328,134.0,0.0,1864,34500,1398.0,0.0,43,20,43,41,33
AIS0405,346,164.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2995,359.0,0.0,1355,32870,4299.0,0.0,40,45,14,37,35
AJC0840,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364,57.0,0.0,87,3460,702.0,0.0,14,24,19,33,37
AJD0074,750,405.0,74.0,2,294.0,150.0,29.0,10.0,1.0,515.0,62.0,29.0,3781,649.0,373.0,2144,44118,7160.0,4332.0,19,37,45,22,34
AJF0370,1777,942.0,77.0,661,8502.0,4261.0,888.0,198.0,642.0,11053.0,2368.0,483.0,3927,0.0,193.0,2212,42445,0.0,1992.0,37,33,11,15,36
AJH0175,405,399.0,0.0,1,317.0,159.0,3.0,0.0,1.0,236.0,0.0,0.0,4976,318.0,0.0,1042,52938,3709.0,0.0,19,19,16,33,37
AJL0462,652,200.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338,12.0,0.0,181,3114,101.0,0.0,16,24,44,31,28
AJN0607,721,171.0,0.0,2,2061.0,1033.0,10.0,0.0,1.0,820.0,1.0,0.0,5022,49.0,0.0,3717,56052,572.0,0.0,45,42,16,47,23
AJP0723,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337,13.0,0.0,0,3460,199.0,0.0,24,29,17,12,29
AJR0319,812,446.0,181.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6434,329.0,1411.0,3286,72252,3265.0,15876.0,40,13,37,16,24
AJR0932,199,199.0,0.0,1,38.0,19.0,19.0,1.0,1.0,47.0,47.0,0.0,1709,187.0,0.0,0,18527,2119.0,96.0,46,30,35,12,29
AKC0924,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3047,572.0,0.0,1336,32870,5668.0,0.0,40,44,35,37,27
AKF0709,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,21.0,0.0,0,3460,202.0,0.0,42,31,29,22,32
AKH0758,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,411,10005,0.0,0.0,24,38,40,37,27
AKK0329,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011,128.0,0.0,693,10034,1336.0,0.0,45,22,25,39,22
AKR0057,419,126.0,0.0,13,966.0,486.0,40.0,0.0,1.0,540.0,49.0,0.0,2459,283.0,0.0,446,26463,3513.0,0.0,50,41,20,18,30
AKW0167,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3685,236.0,0.0,792,39444,2048.0,0.0,38,38,20,14,35
ALB0892,235,0.0,58.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680,37.0,166.0,151,6815,315.0,1682.0,25,19,44,22,30
ALC0788,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004,171.0,0.0,668,10034,1638.0,0.0,34,18,15,36,35
ALD0529,622,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993,0.0,0.0,578,9976,0.0,0.0,35,21,19,21,27
ALD0544,346,168.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2971,111.0,0.0,2087,32775,660.0,0.0,16,18,18,13,32
ALH0402,346,154.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3039,427.0,0.0,1263,32870,4091.0,0.0,43,23,43,46,32
AMD0077,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5984,585.0,0.0,2210,65740,5373.0,0.0,23,19,12,25,25
AMH0464,346,169.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337,14.0,0.0,127,3460,85.0,0.0,45,16,42,37,21
AMH0794,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2957,0.0,0.0,1333,32870,0.0,0.0,43,42,33,40,31
AMJ0297,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330,2.0,0.0,0,3460,54.0,0.0,16,43,50,18,28
AMM0014,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6029,727.0,0.0,0,65740,8785.0,0.0,48,38,15,44,36
AMR0318,641,368.0,2.0,1,281.0,141.0,14.0,0.0,1.0,230.0,14.0,0.0,4974,346.0,0.0,1007,56052,4148.0,0.0,45,50,17,25,21
AMR0400,346,157.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2987,386.0,0.0,0,32870,3957.0,0.0,19,16,47,28,28
AMV0036,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4711,317.0,0.0,0,49478,2540.0,0.0,43,36,42,37,26
AMW0392,804,211.0,177.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3956,605.0,866.0,706,40500,5145.0,8820.0,47,47,22,44,26
ANM0123,50,2.0,0.0,2,57.0,29.0,3.0,0.0,1.0,47.0,7.0,0.0,270,38.0,0.0,184,2850,393.0,0.0,22,15,16,21,26
ANP0555,346,153.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3009,85.0,0.0,0,32870,639.0,0.0,13,40,42,23,28
ANT0430,651,156.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3003,36.0,0.0,2129,32870,302.0,0.0,12,19,23,48,31
AOB0019,346,162.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3638,83.0,0.0,754,39444,682.0,0.0,11,17,13,24,28
AOK0844,746,31.0,209.0,15,809.0,407.0,49.0,135.0,1.0,1321.0,215.0,433.0,370,68.0,111.0,211,3830,782.0,1120.0,11,30,44,26,31
AOS0987,709,11.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017,177.0,0.0,1559,31140,1504.0,0.0,16,32,40,30,27
APG0307,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330,1.0,0.0,132,3460,38.0,0.0,43,39,36,43,22
AQD0820,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3018,639.0,0.0,1210,32870,7391.0,0.0,41,31,27,24,39
ARA0252,617,161.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2981,42.0,0.0,2054,32870,293.0,0.0,39,39,27,21,35
ARB0834,211,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,32.0,0.0,94,2110,422.0,0.0,40,42,40,49,26
ARB0881,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,54.0,0.0,760,10034,536.0,0.0,38,46,43,10,35
ARD0509,362,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994,0.0,0.0,613,10380,0.0,0.0,50,40,35,32,32
ARL0034,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4670,276.0,0.0,1619,49478,2701.0,0.0,41,39,27,21,26
ASB0796,265,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2298,0.0,0.0,850,25175,0.0,0.0,30,40,23,38,34
ASD0577,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,22.0,0.0,0,3450,340.0,0.0,40,48,36,14,37
ASG0048,346,163.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3631,70.0,0.0,2988,39444,374.0,0.0,41,36,19,24,37
ASG0692,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2990,400.0,0.0,707,32870,4451.0,0.0,26,40,41,23,27
ASL0378,620,158.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2992,39.0,0.0,1408,32870,356.0,0.0,15,15,41,21,27
ASM0575,621,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330,28.0,0.0,283,3450,347.0,0.0,42,25,21,45,30
ASS0206,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4660,271.0,0.0,0,49335,2120.0,0.0,12,18,20,28,30
ASS0517,615,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011,0.0,0.0,571,10034,0.0,0.0,36,35,47,44,32
ASV0946,610,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,49.0,0.0,284,3450,456.0,0.0,35,12,46,17,26
ATE0869,903,496.0,250.0,4,419.0,210.0,12.0,61.0,1.0,522.0,8.0,166.0,7519,345.0,2092.0,4531,74205,3200.0,20349.0,13,15,40,44,33
ATF0274,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3019,301.0,0.0,1862,32870,3275.0,0.0,20,45,48,27,28
ATP0662,766,85.0,48.0,2,784.0,394.0,20.0,21.0,1.0,1273.0,57.0,54.0,5103,677.0,277.0,3819,53339,7771.0,2860.0,17,16,41,20,39
AVM0947,375,367.0,0.0,30,5984.0,2998.0,304.0,0.0,1.0,7701.0,656.0,0.0,337,42.0,0.0,74,3114,423.0,0.0,10,25,30,44,39
AWM0764,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003,0.0,0.0,216,10034,0.0,0.0,47,37,39,42,36
BAH0875,465,437.0,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5386,203.0,0.0,917,56052,3187.0,0.0,43,19,26,17,30
BAJ0654,388,34.0,0.0,42,279.0,140.0,22.0,0.0,1.0,2919.0,609.0,0.0,986,302.0,0.0,517,10034,2865.0,0.0,36,10,47,10,41
BAK0964,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340,35.0,0.0,133,3460,458.0,0.0,25,16,22,18,28
BAL0044,1709,1262.0,2.0,628,2258.0,1130.0,854.0,0.0,607.0,2900.0,2061.0,0.0,3696,364.0,0.0,2418,41379,4212.0,0.0,14,41,26,44,30
BAM0611,611,161.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5016,68.0,0.0,3049,56052,572.0,0.0,25,30,39,23,25
BAM0636,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001,291.0,0.0,193,10005,2849.0,0.0,13,40,46,42,39
BBG0325,643,350.0,0.0,2,729.0,368.0,18.0,0.0,1.0,349.0,6.0,0.0,5032,316.0,0.0,2509,56052,3212.0,0.0,41,50,30,37,40
BBH0810,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035,684.0,0.0,0,32870,7492.0,0.0,40,25,10,21,32
BBS0039,663,599.0,0.0,385,4.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1679,162.0,0.0,710,17878,1932.0,0.0,44,37,34,21,40
BBS0422,498,251.0,69.0,3,305.0,154.0,1.0,14.0,1.0,499.0,1.0,42.0,3487,111.0,399.0,1922,37525,1117.0,4275.0,39,42,29,41,18
BCB0679,577,133.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439,23.0,0.0,1687,26695,351.0,0.0,46,36,39,31,31
BCM0653,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021,308.0,0.0,209,10034,2867.0,0.0,45,34,41,18,31
BCR0581,692,23.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,26.0,0.0,245,3460,328.0,0.0,20,11,34,36,30
BDB0453,400,216.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338,10.0,0.0,0,3460,138.0,0.0,41,42,27,41,26
BDI0533,862,0.0,187.0,2,1840.0,922.0,0.0,197.0,1.0,2458.0,0.0,522.0,1302,0.0,285.0,706,13530,0.0,2970.0,37,36,15,41,19
BDV0168,170,170.0,0.0,1,32.0,16.0,16.0,0.0,1.0,36.0,36.0,0.0,2427,140.0,0.0,846,26733,1563.0,0.0,45,31,19,21,31
BEC0505,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5019,0.0,0.0,2676,52938,0.0,0.0,35,21,30,19,32
BEH0615,690,177.0,2.0,22,780.0,394.0,4.0,0.0,1.0,268.0,0.0,0.0,5123,116.0,15.0,2730,57024,794.0,162.0,24,20,50,22,26
BER0314,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4963,233.0,0.0,986,56052,2849.0,0.0,23,20,18,19,32
BHC0665,463,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2973,0.0,0.0,2331,32775,0.0,0.0,14,21,12,12,32
BHW0458,346,169.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,5.0,0.0,153,3460,77.0,0.0,36,32,28,30,29
BIH0745,148,69.0,0.0,1,22.0,11.0,11.0,0.0,1.0,41.0,41.0,0.0,2087,8.0,0.0,1469,23329,273.0,0.0,43,39,50,27,25
BIS0247,664,209.0,6.0,1,232.0,116.0,1.0,0.0,1.0,418.0,1.0,0.0,2984,33.0,0.0,598,31140,718.0,0.0,36,19,18,39,37
BJH0354,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4727,0.0,0.0,0,49478,0.0,0.0,22,21,31,20,36
BJH0811,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3038,622.0,0.0,0,32870,7197.0,0.0,48,39,44,14,40
BJM0111,442,72.0,34.0,1,5821.0,2919.0,53.0,123.0,1.0,7841.0,258.0,343.0,1082,62.0,48.0,712,10672,580.0,464.0,22,24,39,41,19
BJP0134,615,0.0,0.0,6,5940.0,2977.0,0.0,0.0,1.0,8072.0,22.0,0.0,338,7.0,0.0,207,3460,50.0,0.0,42,17,44,21,39
BJW0619,346,148.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4973,88.0,0.0,976,56052,558.0,0.0,30,43,47,21,39
BKW0374,1358,853.0,0.0,620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3612,0.0,0.0,1212,39388,0.0,0.0,41,38,17,46,27
BLB0114,696,3.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3016,204.0,0.0,2694,31140,1686.0,0.0,38,48,41,15,22
BLL0929,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2981,396.0,0.0,1314,32870,3662.0,0.0,44,49,10,41,39
BLS0678,366,97.0,0.0,1,8.0,4.0,4.0,0.0,1.0,5.0,5.0,0.0,1729,15.0,0.0,1169,19097,313.0,0.0,35,17,43,28,31
BMC0547,346,156.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3034,58.0,0.0,0,32870,642.0,0.0,41,18,22,21,35
BMG0917,638,21.0,3.0,1,5955.0,2981.0,397.0,0.0,1.0,7692.0,1129.0,0.0,3039,513.0,0.0,617,34600,5539.0,0.0,43,36,41,23,34
BMM0112,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013,60.0,0.0,350,10034,542.0,0.0,40,36,24,40,25
BMS0877,126,126.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786,85.0,0.0,1346,20412,973.0,0.0,31,50,11,43,33
BMT0528,372,0.0,0.0,2,1420.0,713.0,0.0,0.0,1.0,1903.0,0.0,0.0,1010,0.0,0.0,768,10034,0.0,0.0,33,25,39,25,30
BNG0237,609,166.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008,59.0,0.0,2404,32870,582.0,0.0,39,36,36,47,27
BNR0965,616,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,44.0,0.0,241,3460,508.0,0.0,47,19,15,20,22
BQS0525,56,0.0,16.0,8,782.0,393.0,0.0,113.0,1.0,57.0,0.0,12.0,142,0.0,41.0,76,1323,0.0,378.0,42,38,19,45,30
BRB0355,949,0.0,214.0,3,1792.0,898.0,0.0,202.0,1.0,712.0,0.0,137.0,4389,0.0,969.0,2421,45500,0.0,10100.0,33,21,37,19,29
BRM0995,642,21.0,0.0,4,5932.0,2973.0,852.0,0.0,1.0,590.0,174.0,0.0,3044,816.0,0.0,1665,34600,10080.0,0.0,20,11,32,26,40
BRS0734,110,57.0,17.0,1,256.0,128.0,1.0,24.0,1.0,1845.0,1.0,336.0,1497,25.0,233.0,931,17820,177.0,2754.0,32,39,47,10,30
BSA0431,346,161.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3044,56.0,0.0,618,32870,332.0,0.0,50,41,19,40,29
BSB0990,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3015,459.0,0.0,1271,32870,4329.0,0.0,34,44,13,43,37
BSH0445,346,166.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3043,32.0,0.0,1248,32870,292.0,0.0,38,22,30,15,21
BSS0369,962,569.0,180.0,504,5472.0,2740.0,543.0,511.0,489.0,2295.0,1301.0,454.0,2300,0.0,432.0,491,28561,87.0,5280.0,39,42,34,14,32
BSS0463,364,163.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335,10.0,0.0,326,3460,87.0,0.0,32,40,40,38,28
BTL0226,406,108.0,0.0,20,16.0,8.0,8.0,0.0,1.0,4.0,4.0,0.0,1862,243.0,0.0,974,20238,2735.0,0.0,36,44,37,38,31
BTL0722,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,22.0,0.0,153,3460,233.0,0.0,39,41,36,17,49
BTN0061,700,200.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3031,394.0,0.0,2340,32870,4164.0,0.0,42,21,22,20,22
BTR0403,688,213.0,0.0,21,756.0,380.0,20.0,0.0,1.0,520.0,46.0,0.0,3003,403.0,0.0,583,32870,4479.0,0.0,47,47,21,17,28
BTS0011,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5930,433.0,0.0,2270,65740,6122.0,0.0,25,42,16,25,29
BTW0005,466,354.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8950,752.0,0.0,5972,98610,8689.0,0.0,33,39,18,18,27
BVC0790,960,57.0,192.0,3,1749.0,879.0,14.0,166.0,1.0,975.0,24.0,201.0,3768,220.0,736.0,2055,41135,2135.0,8075.0,24,18,18,36,38
BVN0514,118,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327,0.0,0.0,72,3190,0.0,0.0,36,23,30,23,22
BWH0813,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035,724.0,0.0,2169,32870,7459.0,0.0,36,36,33,20,30
BWP0202,803,428.0,7.0,2,257.0,129.0,20.0,0.0,1.0,627.0,78.0,0.0,3663,308.0,0.0,1827,39444,4669.0,0.0,20,36,15,25,28
BXJ0010,346,143.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6058,144.0,0.0,0,65740,1032.0,0.0,46,24,30,35,34
BYP0070,238,116.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2060,75.0,0.0,0,22610,416.0,0.0,30,19,41,21,33
CAA0612,613,155.0,0.0,1,254.0,128.0,1.0,0.0,1.0,641.0,0.0,0.0,5372,45.0,0.0,3286,58820,527.0,0.0,20,41,32,42,31
CAB0388,610,165.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2946,28.0,0.0,1908,32775,422.0,0.0,37,33,23,40,36
CAB0614,688,163.0,0.0,15,733.0,368.0,0.0,0.0,1.0,931.0,0.0,0.0,5335,79.0,0.0,3264,56052,615.0,0.0,17,38,22,12,34
CAC0889,60,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,12.0,0.0,25,1740,97.0,0.0,46,49,32,41,27
CAH0936,354,196.0,0.0,19,25.0,13.0,13.0,0.0,1.0,42.0,42.0,0.0,1512,230.0,0.0,936,17202,2215.0,0.0,40,22,39,50,24
CAM0102,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3038,390.0,0.0,0,32870,3369.0,0.0,31,44,19,15,27
CAM0681,613,0.0,0.0,1,717.0,360.0,30.0,0.0,1.0,759.0,79.0,0.0,3033,389.0,0.0,1521,34600,4795.0,0.0,41,43,45,10,28
CAN0842,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338,55.0,0.0,0,3460,692.0,0.0,38,41,22,39,29
CAS0507,735,10.0,0.0,3,759.0,381.0,1.0,0.0,1.0,6290.0,24.0,0.0,1003,0.0,0.0,529,10005,39.0,0.0,14,46,33,11,25
CBB0365,1758,908.0,0.0,634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,0.0,0.0,1571,39444,0.0,0.0,37,17,20,41,33
CBG0398,346,172.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3019,350.0,0.0,1119,32870,3990.0,0.0,40,21,41,10,24
CBG0490,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5029,0.0,0.0,1834,56052,0.0,0.0,50,31,35,10,29
CCA0046,804,713.0,0.0,447,1511.0,758.0,489.0,0.0,430.0,1678.0,1236.0,0.0,2157,210.0,0.0,1191,22744,2138.0,0.0,36,43,25,15,28
