,web_activity_count
BTL0226,20238
JJM0203,20181
MOS0047,20118
MAD0496,19116
BLS0678,19097
SSR0278,18620
AJR0932,18527
QOS0878,18306
BBS0039,17878
IEB0153,17856
BRS0734,17820
IAT0263,17670
DIB0285,17596
CAH0936,17202
RHL0992,16859
MCD0125,16720
SEJ0677,16720
LHN0151,16608
RDM0150,16560
ESR0693,16055
JTM0223,16026
OLB0749,15876
JGT0221,15438
RMW0542,15418
DIB0081,15390
LCC0819,15028
HLH0512,14268
CTR0341,14239
KPC0073,14158
LAP0338,14123
BDI0533,13530
LOM0086,13490
GTD0219,13442
CJM0521,13427
EGD0409,13300
LHB0606,13284
IIL0513,13170
SSJ0784,13137
NMS0280,13080
CSC0217,12885
NOB0181,12852
FOB0756,12325
HWY0038,12312
ILJ0526,10875
BJM0111,10672
DPS0262,10545
IBP0883,10380
ARD0509,10380
PAD0773,10380
NMG0766,10034
GQF0659,10034
KJM0887,10034
TUC0632,10034
KNW0644,10034
ARB0881,10034
XHG0902,10034
DKB0631,10034
BCM0653,10034
GTD0898,10034
MJS0890,10034
WGS0516,10034
TLH0648,10034
HWH0646,10034
LNR0656,10034
GCS0518,10034
BMM0112,10034
CJV0286,10034
BMT0528,10034
EZT0640,10034
JZD0888,10034
HCL0651,10034
EGK0893,10034
SCB0534,10034
SXM0895,10034
NAB0903,10034
XRS0633,10034
VLB0647,10034
KJG0910,10034
KMS0657,10034
MJM0510,10034
JMW0638,10034
BAJ0654,10034
JML0909,10034
HTF0641,10034
YJF0532,10034
PIS0522,10034
WNB0908,10034
ESA0642,10034
IMP0530,10034
ZSB0649,10034
SED0886,10034
EJW0884,10034
EFS0882,10034
CLD0894,10034
SCP0130,10034
CGB0637,10034
LQP0508,10034
MIB0904,10034
POB0343,10034
PMC0328,10034
OSH0655,10034
JMD0520,10034
AGB0643,10034
CMW0783,10034
HAH0760,10034
SLP0762,10034
JFC0757,10034
RIH0777,10034
ALC0788,10034
ELT0769,10034
JSA0775,10034
RCP0785,10034
NMF0780,10034
MOP0763,10034
ASS0517,10034
EMB0531,10034
UAD0771,10034
QSV0778,10034
AGB0186,10034
MAE0331,10034
CSJ0340,10034
HWM0342,10034
OQH0183,10034
SJC0333,10034
CCH0182,10034
SHR0334,10034
DFH0188,10034
AKK0329,10034
AAW0353,10034
ABH0663,10034
SBD0913,10034
SSS0345,10034
TSB0437,10034
KDT0346,10034
RHC0335,10034
DOL0332,10034
EMW0772,10034
CLB0774,10034
JCR0770,10034
CFM0767,10034
SKG0759,10034
AWM0764,10034
RNF0765,10034
TYB0779,10034
HCC0344,10034
CGF0337,10034
JSH0330,10034
ORG0339,10034
AKH0758,10005
SAB0781,10005
WPE0538,10005
CXC0336,10005
DID0650,10005
BAM0636,10005
TSG0906,10005
MFV0897,10005
CNB0900,10005
KLM0639,10005
LJJ0905,10005
CAS0507,10005
UBF0645,10005
FRL0511,10005
CCW0524,10005
DEB0782,10005
ALD0529,9976
ZKS0899,9976
NRO0768,9660
CQW0652,9603
PNH0761,9342
MVB0515,9342
NHH0185,9342
MKW0441,9342
QCH0110,8845
SNC0187,8700
UCH0519,8091
LUR0896,8046
FMG0527,7832
HFB0347,7656
YWW0660,7569
MVH0373,7524
MHH0180,7398
CRD0624,7290
RRC0553,7220
ALB0892,6815
PGH0184,6641
AAM0658,6498
CFW0264,5700
FFC0891,5684
HMM0108,5225
IJM0776,5093
SLT0907,5017
AAF0535,4878
LJR0523,4818
SMH0291,4800
AHG0634,4740
DGM0754,4698
RAM0447,4490
SBN0971,4490
IKP0472,4446
JAJ0849,4420
JKJ0698,4420
PTH0830,4250
MLM0950,4210
JKF0465,4200
JHP0583,4020
AOK0844,3830
AHD0848,3820
LDD0560,3800
JDF0593,3670
JJH0292,3520
CFG0959,3460
NMB0972,3460
LRW0970,3460
GDF0704,3460
YJV0699,3460
MVF0594,3460
CLS0296,3460
MNR0829,3460
MJB0588,3460
MNC0717,3460
MLG0475,3460
BSS0463,3460
BHW0458,3460
TPH0474,3460
AAV0450,3460
MIM0712,3460
CSL0949,3460
XLB0710,3460
DDM0579,3460
TIW0299,3460
ADD0846,3460
JJB0700,3460
FPC0954,3460
AKF0709,3460
HMW0713,3460
BTL0722,3460
ABM0845,3460
SAC0592,3460
HDJ0446,3460
AJC0840,3460
SOB0586,3460
DSM0591,3460
BCR0581,3460
ECR0822,3460
NUL0471,3460
HKF0831,3460
ESH0135,3460
APG0307,3460
TJB0302,3460
RLB0719,3460
WJD0576,3460
ZFM0468,3460
CCM0467,3460
FWM0707,3460
CKP0721,3460
MCT0720,3460
ORB0473,3460
CQH0701,3460
CJG0470,3460
KQC0708,3460
HGH0595,3460
IBB0696,3460
MBR0724,3460
KPP0452,3460
TBT0461,3460
LDG0459,3460
CRP0456,3460
RYB0718,3460
CLH0703,3460
NJC0705,3460
WGR0833,3460
CJM0138,3460
NLO0131,3460
ILR0304,3460
LHB0967,3460
AJP0723,3460
GCS0571,3460
JCR0289,3460
SAH0599,3460
IJR0825,3460
GJD0298,3460
KJJ0293,3460
PDH0716,3460
PLH0715,3460
BJP0134,3460
IHK0841,3460
AMJ0297,3460
GNZ0953,3460
SHW0578,3460
ICH0294,3460
OMM0944,3460
SGB0140,3460
FEB0306,3460
SJW0451,3460
BNR0965,3460
CTR0697,3460
GCC0945,3460
ILH0958,3460
NIH0969,3460
BAK0964,3460
CJH0702,3460
AIB0948,3460
OHC0973,3460
GCG0951,3460
CJP0952,3460
KSP0966,3460
FXF0957,3460
MKG0711,3460
HSD0457,3460
ELH0960,3460
AMH0464,3460
BDB0453,3460
ILC0838,3460
CHM0821,3460
JRF0835,3460
FRR0832,3460
CAN0842,3460
HPR0585,3460
IJM0139,3460
GHH0288,3460
THD0448,3460
LDM0587,3460
AAL0706,3460
NCK0295,3460
TAC0300,3450
ASD0577,3450
MSG0839,3450
ZCF0590,3450
AES0827,3450
ASV0946,3450
ERH0449,3450
NSC0597,3450
LJB0826,3450
ELB0847,3450
FHS0837,3450
JRL0574,3450
ZSL0305,3450
TDG0962,3450
TJG0582,3450
ASM0575,3450
GZB0469,3450
JKM0303,3450
PMV0850,3450
NRF0137,3450
CMS0454,3450
HSP0290,3450
MLL0598,3450
AAN0823,3450
IBS0836,3402
EDA0684,3325
BVN0514,3190
WDV0573,3114
AVM0947,3114
AJL0462,3114
CCM0136,3096
MDH0580,3089
CYA0506,3045
MAR0955,2963
KLH0596,2911
DCH0843,2891
MBW0809,2850
ANM0123,2850
HRD0635,2610
EDB0714,2548
TNM0961,2525
ICS0956,2510
MCF0600,2453
HJS0072,2375
GHL0460,2291
HXL0968,2225
ECF0828,2110
ARB0834,2110
EGD0132,2037
PSF0133,2028
EHD0584,1893
RAR0725,1859
RAB0589,1766
WRM0963,1740
CAC0889,1740
PNL0301,1674
EHB0824,1594
AAS0442,1450
BQS0525,1323
DAR0885,1073
MTT0901,841
JRH0455,550
LPH0572,370
EAH0466,350
