user,anomaly_score,status,login_count,after_hours_logins,weekend_logins,unique_computers,device_activity,usb_connections,after_hours_usb,weekend_usb,usb_unique_computers,file_activity,after_hours_files,weekend_files,email_count,after_hours_emails,weekend_emails,attachment_count,web_activity,after_hours_web,weekend_web,O,C,E,A,N,after_hours_login_ratio,weekend_login_ratio,after_hours_email_ratio,after_hours_web_ratio,after_hours_file_ratio,behavioral_signals,priority_score,priority
EIS0041,-0.1216760184698254,Anomaly,1661,1243.0,0.0,622,2644.0,1323.0,899.0,0.0,607.0,3676.0,2266.0,0.0,3287,349.0,0.0,1999,39270,3925.0,0.0,41,44,17,48,30,0.7483443708609272,0.0,0.10617584423486462,0.09994907053730583,0.6164309031556039,5,0.6483606624886928,Medium Priority
HPH0075,-0.140621842157239,Anomaly,721,199.0,105.0,1,6345.0,3180.0,30.0,450.0,1.0,9323.0,31.0,1336.0,7435,114.0,1075.0,4528,72720,767.0,10440.0,40,42,48,25,28,0.27600554785020803,0.14563106796116504,0.015332885003362474,0.010547304730473047,0.0033251099431513462,4,0.6309423251746695,Medium Priority
MPM0220,-0.1018932398706735,Anomaly,1085,814.0,1.0,456,4978.0,2494.0,731.0,0.0,440.0,6689.0,1696.0,0.0,2307,201.0,0.0,530,24551,2730.0,0.0,35,20,42,22,20,0.7502304147465437,0.0009216589861751152,0.08712613784135241,0.11119709991446378,0.2535506054716699,5,0.5969367280092066,Medium Priority
ATE0869,-0.0958781980980451,Anomaly,903,496.0,250.0,4,419.0,210.0,12.0,61.0,1.0,522.0,8.0,166.0,7519,345.0,2092.0,4531,74205,3200.0,20349.0,13,15,40,44,33,0.5492801771871539,0.2768549280177187,0.04588376113844926,0.04312377872111044,0.01532567049808429,5,0.5813010521380588,Medium Priority
IBB0359,-0.1457976958055503,Anomaly,1676,892.0,1.0,604,7852.0,3935.0,859.0,0.0,580.0,3199.0,2130.0,0.0,3631,0.0,0.0,2283,39444,539.0,0.0,48,33,21,43,38,0.5322195704057279,0.0005966587112171838,0.0,0.013664942703579758,0.665833072835261,3,0.5777299241740799,Medium Priority
JDC0030,-0.0877695580779422,Anomaly,894,8.0,233.0,3,380.0,190.0,12.0,51.0,1.0,724.0,76.0,212.0,5071,798.0,1367.0,4003,54378,8708.0,14592.0,31,18,19,21,26,0.008948545861297539,0.2606263982102908,0.1573654111615066,0.16013829122071427,0.10497237569060773,5,0.5602232156237591,Medium Priority
LRR0148,-0.0464252582315423,Anomaly,841,454.0,104.0,3,1569.0,788.0,107.0,92.0,1.0,907.0,97.0,112.0,5427,727.0,671.0,2719,57200,7594.0,7007.0,21,19,14,14,29,0.539833531510107,0.12366230677764566,0.1339598304772434,0.13276223776223775,0.10694597574421169,6,0.5194182975610363,Medium Priority
HDS0367,-0.1176221618985182,Anomaly,1655,915.0,0.0,630,2722.0,1364.0,870.0,0.0,613.0,3406.0,2095.0,0.0,3626,0.0,0.0,2764,39420,0.0,0.0,50,42,16,30,19,0.552870090634441,0.0,0.0,0.0,0.6150910158543746,3,0.5044896155744638,Medium Priority
NOB0181,-0.0369125170577473,Anomaly,961,500.0,245.0,3,1047.0,527.0,44.0,139.0,1.0,1703.0,106.0,473.0,1368,206.0,351.0,788,12852,1867.0,3267.0,31,21,21,41,25,0.5202913631633714,0.25494276795005205,0.15058479532163743,0.14526921879863056,0.062243100411039344,6,0.494690599356775,Low Priority
BJM0111,-0.0562823457164547,Anomaly,442,72.0,34.0,1,5821.0,2919.0,53.0,123.0,1.0,7841.0,258.0,343.0,1082,62.0,48.0,712,10672,580.0,464.0,22,24,39,41,19,0.16289592760180996,0.07692307692307693,0.05730129390018484,0.05434782608695652,0.03290396633082515,5,0.4783744329917672,Low Priority
MLM0950,-0.028380234157483,Anomaly,840,450.0,153.0,3,1694.0,850.0,100.0,160.0,1.0,2752.0,215.0,502.0,404,44.0,72.0,297,4210,598.0,750.0,24,20,29,23,36,0.5357142857142857,0.18214285714285713,0.10891089108910891,0.14204275534441804,0.078125,6,0.4725115331237615,Low Priority
OBH0499,-0.1029569209310825,Anomaly,907,36.0,173.0,2,7395.0,3706.0,11.0,695.0,1.0,594.0,3.0,98.0,6229,0.0,1170.0,3589,69822,423.0,13122.0,35,18,41,16,34,0.03969128996692393,0.19073869900771775,0.0,0.00605826243877288,0.005050505050505051,3,0.46636835839840546,Low Priority
ESJ0670,-0.0395480253919919,Anomaly,515,211.0,129.0,3,366.0,185.0,3.0,40.0,1.0,3303.0,12.0,690.0,4582,72.0,1159.0,911,44650,457.0,11305.0,42,31,15,40,24,0.4097087378640777,0.2504854368932039,0.01571366215626364,0.010235162374020158,0.0036330608537693005,5,0.43487475029497935,Low Priority
TDS0984,-0.037306092669306,Anomaly,836,438.0,161.0,39,346.0,174.0,8.0,31.0,1.0,3378.0,63.0,655.0,3735,187.0,694.0,678,40850,1928.0,7600.0,39,39,15,40,38,0.5239234449760766,0.19258373205741627,0.0500669344042838,0.047197062423500614,0.018650088809946713,5,0.4290470046696121,Low Priority
MOS0047,-0.035970302440375,Anomaly,895,657.0,0.0,416,1774.0,888.0,480.0,0.0,391.0,1593.0,1099.0,0.0,1892,176.0,0.0,1532,20118,1911.0,0.0,49,39,24,34,23,0.7340782122905027,0.0,0.09302325581395349,0.09498956158663883,0.6898932831136221,5,0.4255747123995146,Low Priority
CCA0046,-0.0348733538847179,Anomaly,804,713.0,0.0,447,1511.0,758.0,489.0,0.0,430.0,1678.0,1236.0,0.0,2157,210.0,0.0,1191,22744,2138.0,0.0,36,43,25,15,28,0.8868159203980099,0.0,0.09735744089012517,0.0940028139289483,0.7365911799761621,5,0.42272327217483874,Low Priority
AVM0947,-0.0343260861979125,Anomaly,375,367.0,0.0,30,5984.0,2998.0,304.0,0.0,1.0,7701.0,656.0,0.0,337,42.0,0.0,74,3114,423.0,0.0,10,25,30,44,39,0.9786666666666667,0.0,0.12462908011869436,0.13583815028901733,0.08518374237112063,5,0.4213006885105689,Low Priority
KKW0879,-0.0336338652464419,Anomaly,451,407.0,37.0,2,6501.0,3257.0,111.0,232.0,1.0,1534.0,26.0,137.0,5158,244.0,372.0,1229,61722,2973.0,4374.0,36,42,21,31,27,0.9024390243902439,0.082039911308204,0.04730515703761148,0.04816759016234082,0.01694915254237288,5,0.4195013090818734,Low Priority
HRL0540,-0.0588135063350119,Anomaly,643,18.0,0.0,2,5924.0,2968.0,867.0,0.0,1.0,1777.0,556.0,0.0,2988,1045.0,0.0,1721,34400,10019.0,0.0,43,38,17,40,18,0.027993779160186624,0.0,0.3497322623828648,0.29125,0.3128868880135059,4,0.41828733941961616,Low Priority
AOK0844,-0.0248281323943555,Anomaly,746,31.0,209.0,15,809.0,407.0,49.0,135.0,1.0,1321.0,215.0,433.0,370,68.0,111.0,211,3830,782.0,1120.0,11,30,44,26,31,0.04155495978552279,0.2801608579088472,0.1837837837837838,0.204177545691906,0.1627554882664648,5,0.39661142902988894,Low Priority
BVC0790,-0.0176926259978256,Anomaly,960,57.0,192.0,3,1749.0,879.0,14.0,166.0,1.0,975.0,24.0,201.0,3768,220.0,736.0,2055,41135,2135.0,8075.0,24,18,18,36,38,0.059375,0.2,0.058386411889596604,0.05190227300352498,0.024615384615384615,5,0.3780631845770677,Low Priority
BRM0995,-0.0377738595740747,Anomaly,642,21.0,0.0,4,5932.0,2973.0,852.0,0.0,1.0,590.0,174.0,0.0,3044,816.0,0.0,1665,34600,10080.0,0.0,20,11,32,26,40,0.03271028037383177,0.0,0.2680683311432326,0.29132947976878615,0.29491525423728815,4,0.3635962650043995,Low Priority
IIW0249,-0.0109547900623039,Anomaly,435,207.0,47.0,21,6735.0,3375.0,41.0,342.0,1.0,473.0,4.0,23.0,3402,53.0,346.0,691,37145,615.0,3800.0,39,36,43,38,28,0.47586206896551725,0.10804597701149425,0.01557907113462669,0.0165567371113205,0.008456659619450317,5,0.36054865637542016,Low Priority
SAA0999,-0.0299802618601721,Anomaly,630,0.0,0.0,2,5971.0,2992.0,325.0,0.0,1.0,8468.0,1038.0,0.0,3016,423.0,0.0,1796,31140,4340.0,0.0,20,17,34,11,36,0.0,0.0,0.14025198938992042,0.13937058445728967,0.12257912139820501,4,0.3433373586940199,Low Priority
BMG0917,-0.0279853795269419,Anomaly,638,21.0,3.0,1,5955.0,2981.0,397.0,0.0,1.0,7692.0,1129.0,0.0,3039,513.0,0.0,617,34600,5539.0,0.0,43,36,41,23,34,0.032915360501567396,0.004702194357366771,0.1688055281342547,0.16008670520231214,0.14677587103484138,4,0.33815180309149634,Low Priority
WIQ0567,-0.0271978033439785,Anomaly,798,0.0,174.0,1,867.0,437.0,0.0,78.0,1.0,1955.0,1.0,371.0,3876,47.0,799.0,2824,41990,548.0,8835.0,25,41,10,47,39,0.0,0.21804511278195488,0.012125902992776058,0.013050726363419862,0.0005115089514066496,4,0.33610455447941057,Low Priority
RAW0915,-0.0004850600485343,Anomaly,762,16.0,94.0,28,872.0,438.0,69.0,62.0,1.0,459.0,104.0,50.0,3490,591.0,398.0,2019,40300,6852.0,4900.0,43,50,21,43,24,0.02099737532808399,0.12335958005249344,0.1693409742120344,0.17002481389578164,0.22657952069716775,5,0.33333333333333337,Low Priority
NWK0215,-0.0149266073790051,Anomaly,853,497.0,184.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5547,283.0,1174.0,3678,63492,4331.0,13585.0,21,19,45,18,24,0.5826494724501758,0.21570926143024619,0.05101856859563728,0.06821331821331822,0.0,4,0.3042064480468399,Low Priority
HAD0246,-0.0379043121776574,Anomaly,1047,314.0,311.0,2,424.0,214.0,4.0,61.0,1.0,315.0,0.0,66.0,4820,107.0,1377.0,2781,46740,1377.0,13300.0,44,39,32,45,38,0.29990448901623684,0.29703915950334286,0.02219917012448133,0.02946084724005135,0.0,3,0.2972687006587589,Low Priority
WPR0368,-0.0614259398012517,Anomaly,1735,1062.0,325.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4534,0.0,820.0,879,48533,0.0,8778.0,48,34,40,17,31,0.6121037463976945,0.1873198847262248,0.0,0.0,0.0,2,0.2917448422029896,Low Priority
JDF0593,-0.0089411930194565,Anomaly,805,76.0,38.0,3,6296.0,3153.0,138.0,131.0,1.0,403.0,25.0,14.0,351,32.0,12.0,72,3670,403.0,150.0,30,45,11,41,29,0.09440993788819876,0.04720496894409938,0.09116809116809117,0.10980926430517711,0.062034739454094295,4,0.2886477865415648,Low Priority
CMB0912,-0.0070677074222308,Anomaly,860,458.0,140.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5723,797.0,960.0,3165,60489,7425.0,10010.0,46,43,16,22,31,0.5325581395348837,0.16279069767441862,0.1392626244976411,0.12274959083469722,0.0,4,0.2837777931724773,Low Priority
HRB0351,-0.0029390108838377,Anomaly,723,170.0,63.0,38,264.0,133.0,2.0,9.0,1.0,2662.0,8.0,189.0,6750,165.0,574.0,1404,72770,1456.0,6270.0,19,12,43,42,36,0.2351313969571231,0.08713692946058091,0.024444444444444446,0.020008245155970866,0.003005259203606311,4,0.273045538387747,Low Priority
HDD0806,-0.0239990931949187,Anomaly,903,18.0,226.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4143,967.0,1022.0,758,44840,10426.0,11210.0,47,28,36,19,38,0.019933554817275746,0.2502768549280177,0.23340574462949554,0.2325156110615522,0.0,3,0.2611230669042609,Low Priority
AJR0319,-0.0194993346214279,Anomaly,812,446.0,181.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6434,329.0,1411.0,3286,72252,3265.0,15876.0,40,13,37,16,24,0.5492610837438424,0.2229064039408867,0.05113459745104134,0.0451890605104357,0.0,3,0.24942626259050193,Low Priority
RZC0746,-0.0382023275950479,Anomaly,925,222.0,241.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6893,119.0,1745.0,3457,77760,690.0,20088.0,15,38,33,43,26,0.24,0.26054054054054054,0.017263890903815464,0.008873456790123456,0.0,2,0.2313767040022202,Low Priority
BDI0533,-0.0325308096474866,Anomaly,862,0.0,187.0,2,1840.0,922.0,0.0,197.0,1.0,2458.0,0.0,522.0,1302,0.0,285.0,706,13530,0.0,2970.0,37,36,15,41,19,0.0,0.21693735498839908,0.0,0.0,0.0,2,0.21663399402986444,Low Priority
KBP0008,-0.002323510814738,Anomaly,733,363.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9145,1338.0,0.0,4575,103800,15744.0,0.0,23,18,40,11,34,0.495225102319236,0.0,0.14630945872061235,0.1516763005780347,0.0,3,0.20477892280253662,Low Priority
BRB0355,-0.0184456490769041,Anomaly,949,0.0,214.0,3,1792.0,898.0,0.0,202.0,1.0,712.0,0.0,137.0,4389,0.0,969.0,2421,45500,0.0,10100.0,33,21,37,19,29,0.0,0.22550052687038988,0.0,0.0,0.0,2,0.1800206148382411,Low Priority
FKK0055,-0.0111907675956137,Anomaly,856,0.0,213.0,3,344.0,172.0,0.0,38.0,1.0,601.0,0.0,129.0,4039,0.0,1010.0,3275,46400,0.0,11500.0,46,16,37,16,27,0.0,0.2488317757009346,0.0,0.0,0.0,2,0.1611620632914776,Low Priority
