id,date,user,pc,activity
LGN0000057,01/02/2026 08:29:21,USR0004,PC-USR0004-01,Logon
LGN0000058,01/02/2026 18:15:03,USR0004,PC-USR0004-01,Logoff
LGN0000059,01/02/2026 08:48:44,USR0005,PC-USR0005-01,Logon
LGN0000060,01/02/2026 18:15:26,USR0005,PC-USR0005-01,Logoff
LGN0000061,01/02/2026 09:30:00,USR0006,PC-USR0006-01,Logon
LGN0000062,01/02/2026 18:01:00,USR0006,PC-USR0006-01,Logoff
LGN0000063,01/02/2026 08:28:44,USR0007,PC-USR0007-01,Logon
LGN0000064,01/02/2026 17:02:31,USR0007,PC-USR0007-01,Logoff
LGN0000065,01/02/2026 09:42:25,USR0008,PC-USR0008-01,Logon
LGN0000066,01/02/2026 17:28:16,USR0008,PC-USR0008-01,Logoff
LGN0000067,01/02/2026 08:29:13,USR0009,PC-USR0009-01,Logon
LGN0000068,01/02/2026 18:05:42,USR0009,PC-USR0009-01,Logoff
LGN0000069,01/02/2026 08:35:57,USR0010,PC-USR0010-01,Logon
LGN0000070,01/02/2026 17:13:06,USR0010,PC-USR0010-01,Logoff
LGN0000071,01/02/2026 08:52:19,USR0011,PC-USR0011-01,Logon
LGN0000072,01/02/2026 18:03:58,USR0011,PC-USR0011-01,Logoff
LGN0000073,01/02/2026 08:53:07,USR0012,PC-USR0012-01,Logon
LGN0000074,01/02/2026 18:23:02,USR0012,PC-USR0012-01,Logoff
LGN0000075,01/02/2026 09:39:16,USR0013,PC-USR0013-01,Logon
LGN0000076,01/02/2026 17:00:54,USR0013,PC-USR0013-01,Logoff
LGN0000077,01/02/2026 08:35:46,USR0014,PC-USR0014-01,Logon
LGN0000078,01/02/2026 18:30:46,USR0014,PC-USR0014-01,Logoff
LGN0000079,01/02/2026 09:35:02,USR0015,PC-USR0015-01,Logon
LGN0000080,01/02/2026 17:27:15,USR0015,PC-USR0015-01,Logoff
LGN0000081,01/02/2026 08:32:01,USR0016,PC-USR0016-01,Logon
LGN0000082,01/02/2026 18:07:53,USR0016,PC-USR0016-01,Logoff
LGN0000083,01/02/2026 09:18:07,USR0017,PC-USR0017-01,Logon
LGN0000084,01/02/2026 17:13:33,USR0017,PC-USR0017-01,Logoff
LGN0000085,01/02/2026 08:17:44,USR0018,PC-USR0018-01,Logon
LGN0000086,01/02/2026 18:13:29,USR0018,PC-USR0018-01,Logoff
LGN0000087,01/02/2026 09:29:45,USR0019,PC-USR0019-01,Logon
LGN0000088,01/02/2026 17:09:23,USR0019,PC-USR0019-01,Logoff
LGN0000089,01/02/2026 08:32:06,USR0020,PC-USR0020-01,Logon
LGN0000090,01/02/2026 18:04:50,USR0020,PC-USR0020-01,Logoff
LGN0000091,01/02/2026 09:31:06,USR0021,PC-USR0021-01,Logon
LGN0000092,01/02/2026 17:17:14,USR0021,PC-USR0021-01,Logoff
LGN0000093,01/02/2026 09:16:01,USR0022,PC-USR0022-01,Logon
LGN0000094,01/02/2026 18:10:11,USR0022,PC-USR0022-01,Logoff
LGN0000095,01/02/2026 09:42:16,USR0023,PC-USR0023-01,Logon
LGN0000096,01/02/2026 18:18:12,USR0023,PC-USR0023-01,Logoff
LGN0000097,01/02/2026 08:28:38,USR0024,PC-USR0024-01,Logon
LGN0000098,01/02/2026 17:02:15,USR0024,PC-USR0024-01,Logoff
LGN0000099,01/02/2026 09:37:45,USR0025,PC-USR0025-01,Logon
LGN0000100,01/02/2026 17:06:22,USR0025,PC-USR0025-01,Logoff
LGN0000101,01/05/2026 08:21:18,AAE0190,PC-AAE0190-01,Logon
LGN0000102,01/05/2026 18:09:54,AAE0190,PC-AAE0190-01,Logoff
LGN0000103,01/05/2026 08:27:59,USR0002,PC-USR0002-01,Logon
LGN0000104,01/05/2026 17:01:18,USR0002,PC-USR0002-01,Logoff
LGN0000105,01/05/2026 08:49:11,USR0003,PC-USR0003-01,Logon
LGN0000106,01/05/2026 17:25:01,USR0003,PC-USR0003-01,Logoff
LGN0000107,01/05/2026 09:53:38,USR0004,PC-USR0004-01,Logon
LGN0000108,01/05/2026 18:07:59,USR0004,PC-USR0004-01,Logoff
LGN0000109,01/05/2026 09:41:50,USR0005,PC-USR0005-01,Logon
LGN0000110,01/05/2026 17:06:20,USR0005,PC-USR0005-01,Logoff
LGN0000111,01/05/2026 09:50:45,USR0006,PC-USR0006-01,Logon
LGN0000112,01/05/2026 18:22:18,USR0006,PC-USR0006-01,Logoff
LGN0000113,01/05/2026 08:18:16,USR0007,PC-USR0007-01,Logon
LGN0000114,01/05/2026 17:08:17,USR0007,PC-USR0007-01,Logoff
LGN0000115,01/05/2026 09:27:41,USR0008,PC-USR0008-01,Logon
LGN0000116,01/05/2026 17:27:41,USR0008,PC-USR0008-01,Logoff
LGN0000117,01/05/2026 08:55:50,USR0009,PC-USR0009-01,Logon
LGN0000118,01/05/2026 18:27:51,USR0009,PC-USR0009-01,Logoff
LGN0000119,01/05/2026 09:44:23,USR0010,PC-USR0010-01,Logon
LGN0000120,01/05/2026 17:14:54,USR0010,PC-USR0010-01,Logoff
LGN0000121,01/05/2026 09:52:39,USR0011,PC-USR0011-01,Logon
LGN0000122,01/05/2026 18:18:44,USR0011,PC-USR0011-01,Logoff
LGN0000123,01/05/2026 09:29:31,USR0012,PC-USR0012-01,Logon
LGN0000124,01/05/2026 17:07:12,USR0012,PC-USR0012-01,Logoff
LGN0000125,01/05/2026 08:41:31,USR0013,PC-USR0013-01,Logon
LGN0000126,01/05/2026 18:08:44,USR0013,PC-USR0013-01,Logoff
LGN0000127,01/05/2026 08:29:36,USR0014,PC-USR0014-01,Logon
LGN0000128,01/05/2026 18:10:17,USR0014,PC-USR0014-01,Logoff
LGN0000129,01/05/2026 08:37:43,USR0015,PC-USR0015-01,Logon
LGN0000130,01/05/2026 17:23:32,USR0015,PC-USR0015-01,Logoff
LGN0000131,01/05/2026 09:47:53,USR0016,PC-USR0016-01,Logon
LGN0000132,01/05/2026 18:19:03,USR0016,PC-USR0016-01,Logoff
LGN0000133,01/05/2026 09:55:32,USR0017,PC-USR0017-01,Logon
LGN0000134,01/05/2026 18:23:33,USR0017,PC-USR0017-01,Logoff
LGN0000135,01/05/2026 09:43:01,USR0018,PC-USR0018-01,Logon
LGN0000136,01/05/2026 18:12:13,USR0018,PC-USR0018-01,Logoff
LGN0000137,01/05/2026 08:28:20,USR0019,PC-USR0019-01,Logon
LGN0000138,01/05/2026 18:27:25,USR0019,PC-USR0019-01,Logoff
LGN0000139,01/05/2026 09:17:38,USR0020,PC-USR0020-01,Logon
LGN0000140,01/05/2026 17:01:43,USR0020,PC-USR0020-01,Logoff
LGN0000141,01/05/2026 08:17:15,USR0021,PC-USR0021-01,Logon
LGN0000142,01/05/2026 18:06:51,USR0021,PC-USR0021-01,Logoff
LGN0000143,01/05/2026 09:20:09,USR0022,PC-USR0022-01,Logon
LGN0000144,01/05/2026 17:18:25,USR0022,PC-USR0022-01,Logoff
LGN0000145,01/05/2026 09:45:34,USR0023,PC-USR0023-01,Logon
LGN0000146,01/05/2026 18:05:40,USR0023,PC-USR0023-01,Logoff
LGN0000147,01/05/2026 08:52:43,USR0024,PC-USR0024-01,Logon
LGN0000148,01/05/2026 18:29:54,USR0024,PC-USR0024-01,Logoff
LGN0000149,01/05/2026 09:15:24,USR0025,PC-USR0025-01,Logon
LGN0000150,01/05/2026 17:23:03,USR0025,PC-USR0025-01,Logoff
LGN0000151,01/06/2026 09:49:59,AAE0190,PC-AAE0190-01,Logon
LGN0000152,01/06/2026 18:27:07,AAE0190,PC-AAE0190-01,Logoff
LGN0000153,01/06/2026 08:21:29,USR0002,PC-USR0002-01,Logon
LGN0000154,01/06/2026 18:10:35,USR0002,PC-USR0002-01,Logoff
LGN0000155,01/06/2026 08:17:22,USR0003,PC-USR0003-01,Logon
LGN0000156,01/06/2026 17:21:49,USR0003,PC-USR0003-01,Logoff
LGN0000157,01/06/2026 09:34:22,USR0004,PC-USR0004-01,Logon
LGN0000158,01/06/2026 18:10:48,USR0004,PC-USR0004-01,Logoff
LGN0000159,01/06/2026 08:15:01,USR0005,PC-USR0005-01,Logon
LGN0000160,01/06/2026 18:17:14,USR0005,PC-USR0005-01,Logoff
LGN0000161,01/06/2026 08:25:47,USR0006,PC-USR0006-01,Logon
LGN0000162,01/06/2026 18:03:44,USR0006,PC-USR0006-01,Logoff
LGN0000163,01/06/2026 09:46:16,USR0007,PC-USR0007-01,Logon
LGN0000164,01/06/2026 18:30:49,USR0007,PC-USR0007-01,Logoff
LGN0000165,01/06/2026 08:28:34,USR0008,PC-USR0008-01,Logon
LGN0000166,01/06/2026 17:30:54,USR0008,PC-USR0008-01,Logoff
LGN0000167,01/06/2026 08:54:25,USR0009,PC-USR0009-01,Logon
LGN0000168,01/06/2026 18:16:38,USR0009,PC-USR0009-01,Logoff
LGN0000169,01/06/2026 09:25:15,USR0010,PC-USR0010-01,Logon
LGN0000170,01/06/2026 17:23:47,USR0010,PC-USR0010-01,Logoff
LGN0000171,01/06/2026 09:42:06,USR0011,PC-USR0011-01,Logon
LGN0000172,01/06/2026 17:24:29,USR0011,PC-USR0011-01,Logoff
LGN0000173,01/06/2026 08:28:37,USR0012,PC-USR0012-01,Logon
LGN0000174,01/06/2026 17:19:32,USR0012,PC-USR0012-01,Logoff
LGN0000175,01/06/2026 09:30:37,USR0013,PC-USR0013-01,Logon
LGN0000176,01/06/2026 18:05:24,USR0013,PC-USR0013-01,Logoff
LGN0000177,01/06/2026 08:44:27,USR0014,PC-USR0014-01,Logon
LGN0000178,01/06/2026 17:10:02,USR0014,PC-USR0014-01,Logoff
LGN0000179,01/06/2026 08:33:15,USR0015,PC-USR0015-01,Logon
LGN0000180,01/06/2026 17:24:42,USR0015,PC-USR0015-01,Logoff
LGN0000181,01/06/2026 09:24:59,USR0016,PC-USR0016-01,Logon
LGN0000182,01/06/2026 17:25:47,USR0016,PC-USR0016-01,Logoff
LGN0000183,01/06/2026 08:55:16,USR0017,PC-USR0017-01,Logon
LGN0000184,01/06/2026 17:16:29,USR0017,PC-USR0017-01,Logoff
LGN0000185,01/06/2026 08:46:32,USR0018,PC-USR0018-01,Logon
LGN0000186,01/06/2026 17:12:37,USR0018,PC-USR0018-01,Logoff
LGN0000187,01/06/2026 08:44:37,USR0019,PC-USR0019-01,Logon
LGN0000188,01/06/2026 17:28:07,USR0019,PC-USR0019-01,Logoff
LGN0000189,01/06/2026 08:36:08,USR0020,PC-USR0020-01,Logon
LGN0000190,01/06/2026 17:30:10,USR0020,PC-USR0020-01,Logoff
LGN0000191,01/06/2026 08:25:47,USR0021,PC-USR0021-01,Logon
LGN0000192,01/06/2026 18:28:18,USR0021,PC-USR0021-01,Logoff
LGN0000193,01/06/2026 09:36:45,USR0022,PC-USR0022-01,Logon
LGN0000194,01/06/2026 18:12:22,USR0022,PC-USR0022-01,Logoff
LGN0000195,01/06/2026 08:25:05,USR0023,PC-USR0023-01,Logon
LGN0000196,01/06/2026 17:17:10,USR0023,PC-USR0023-01,Logoff
LGN0000197,01/06/2026 09:42:00,USR0024,PC-USR0024-01,Logon
LGN0000198,01/06/2026 18:18:51,USR0024,PC-USR0024-01,Logoff
LGN0000199,01/06/2026 09:28:49,USR0025,PC-USR0025-01,Logon
LGN0000200,01/06/2026 18:16:33,USR0025,PC-USR0025-01,Logoff
LGN0000201,01/07/2026 08:25:54,AAE0190,PC-AAE0190-01,Logon
LGN0000202,01/07/2026 17:03:55,AAE0190,PC-AAE0190-01,Logoff
LGN0000203,01/07/2026 08:41:00,USR0002,PC-USR0002-01,Logon
LGN0000204,01/07/2026 18:16:21,USR0002,PC-USR0002-01,Logoff
LGN0000205,01/07/2026 08:43:38,USR0003,PC-USR0003-01,Logon
LGN0000206,01/07/2026 17:25:22,USR0003,PC-USR0003-01,Logoff
LGN0000207,01/07/2026 08:50:36,USR0004,PC-USR0004-01,Logon
LGN0000208,01/07/2026 18:08:49,USR0004,PC-USR0004-01,Logoff
LGN0000209,01/07/2026 09:19:07,USR0005,PC-USR0005-01,Logon
LGN0000210,01/07/2026 18:16:55,USR0005,PC-USR0005-01,Logoff
LGN0000211,01/07/2026 08:21:41,USR0006,PC-USR0006-01,Logon
LGN0000212,01/07/2026 18:05:36,USR0006,PC-USR0006-01,Logoff
LGN0000213,01/07/2026 09:42:48,USR0007,PC-USR0007-01,Logon
LGN0000214,01/07/2026 18:04:42,USR0007,PC-USR0007-01,Logoff
LGN0000215,01/07/2026 09:21:40,USR0008,PC-USR0008-01,Logon
LGN0000216,01/07/2026 17:03:37,USR0008,PC-USR0008-01,Logoff
LGN0000217,01/07/2026 08:54:30,USR0009,PC-USR0009-01,Logon
LGN0000218,01/07/2026 17:28:17,USR0009,PC-USR0009-01,Logoff
LGN0000219,01/07/2026 09:39:01,USR0010,PC-USR0010-01,Logon
LGN0000220,01/07/2026 17:18:34,USR0010,PC-USR0010-01,Logoff
LGN0000221,01/07/2026 09:32:26,USR0011,PC-USR0011-01,Logon
LGN0000222,01/07/2026 17:04:02,USR0011,PC-USR0011-01,Logoff
LGN0000223,01/07/2026 08:49:01,USR0012,PC-USR0012-01,Logon
LGN0000224,01/07/2026 17:12:37,USR0012,PC-USR0012-01,Logoff
LGN0000225,01/07/2026 08:30:34,USR0013,PC-USR0013-01,Logon
LGN0000226,01/07/2026 17:18:03,USR0013,PC-USR0013-01,Logoff
LGN0000227,01/07/2026 08:48:22,USR0014,PC-USR0014-01,Logon
LGN0000228,01/07/2026 18:19:40,USR0014,PC-USR0014-01,Logoff
LGN0000229,01/07/2026 09:41:12,USR0015,PC-USR0015-01,Logon
LGN0000230,01/07/2026 17:04:16,USR0015,PC-USR0015-01,Logoff
LGN0000231,01/07/2026 09:53:50,USR0016,PC-USR0016-01,Logon
LGN0000232,01/07/2026 18:24:46,USR0016,PC-USR0016-01,Logoff
LGN0000233,01/07/2026 09:37:24,USR0017,PC-USR0017-01,Logon
LGN0000234,01/07/2026 17:22:15,USR0017,PC-USR0017-01,Logoff
LGN0000235,01/07/2026 08:48:36,USR0018,PC-USR0018-01,Logon
LGN0000236,01/07/2026 17:11:17,USR0018,PC-USR0018-01,Logoff
LGN0000237,01/07/2026 08:34:13,USR0019,PC-USR0019-01,Logon
LGN0000238,01/07/2026 17:24:23,USR0019,PC-USR0019-01,Logoff
LGN0000239,01/07/2026 08:32:16,USR0020,PC-USR0020-01,Logon
LGN0000240,01/07/2026 18:18:52,USR0020,PC-USR0020-01,Logoff
LGN0000241,01/07/2026 08:23:15,USR0021,PC-USR0021-01,Logon
LGN0000242,01/07/2026 18:17:15,USR0021,PC-USR0021-01,Logoff
LGN0000243,01/07/2026 09:20:16,USR0022,PC-USR0022-01,Logon
LGN0000244,01/07/2026 17:21:25,USR0022,PC-USR0022-01,Logoff
LGN0000245,01/07/2026 09:25:38,USR0023,PC-USR0023-01,Logon
LGN0000246,01/07/2026 17:08:22,USR0023,PC-USR0023-01,Logoff
LGN0000247,01/07/2026 09:32:23,USR0024,PC-USR0024-01,Logon
LGN0000248,01/07/2026 17:17:03,USR0024,PC-USR0024-01,Logoff
LGN0000249,01/07/2026 09:20:59,USR0025,PC-USR0025-01,Logon
LGN0000250,01/07/2026 18:24:12,USR0025,PC-USR0025-01,Logoff
LGN0000251,01/08/2026 09:42:09,AAE0190,PC-AAE0190-01,Logon
LGN0000252,01/08/2026 18:29:48,AAE0190,PC-AAE0190-01,Logoff
LGN0000253,01/08/2026 09:36:47,USR0002,PC-USR0002-01,Logon
LGN0000254,01/08/2026 17:00:38,USR0002,PC-USR0002-01,Logoff
LGN0000255,01/08/2026 09:27:44,USR0003,PC-USR0003-01,Logon
LGN0000256,01/08/2026 18:01:03,USR0003,PC-USR0003-01,Logoff
LGN0000257,01/08/2026 09:49:05,USR0004,PC-USR0004-01,Logon
LGN0000258,01/08/2026 18:20:00,USR0004,PC-USR0004-01,Logoff
LGN0000259,01/08/2026 09:41:49,USR0005,PC-USR0005-01,Logon
LGN0000260,01/08/2026 17:07:43,USR0005,PC-USR0005-01,Logoff
LGN0000261,01/08/2026 09:37:03,USR0006,PC-USR0006-01,Logon
LGN0000262,01/08/2026 18:06:18,USR0006,PC-USR0006-01,Logoff
LGN0000263,01/08/2026 09:15:05,USR0007,PC-USR0007-01,Logon
LGN0000264,01/08/2026 18:01:45,USR0007,PC-USR0007-01,Logoff
LGN0000265,01/08/2026 09:44:43,USR0008,PC-USR0008-01,Logon
LGN0000266,01/08/2026 17:26:38,USR0008,PC-USR0008-01,Logoff
LGN0000267,01/08/2026 08:35:04,USR0009,PC-USR0009-01,Logon
LGN0000268,01/08/2026 17:12:55,USR0009,PC-USR0009-01,Logoff
LGN0000269,01/08/2026 08:43:26,USR0010,PC-USR0010-01,Logon
LGN0000270,01/08/2026 17:05:34,USR0010,PC-USR0010-01,Logoff
LGN0000271,01/08/2026 08:17:35,USR0011,PC-USR0011-01,Logon
LGN0000272,01/08/2026 17:24:26,USR0011,PC-USR0011-01,Logoff
LGN0000273,01/08/2026 08:41:22,USR0012,PC-USR0012-01,Logon
LGN0000274,01/08/2026 18:27:33,USR0012,PC-USR0012-01,Logoff
LGN0000275,01/08/2026 09:40:48,USR0013,PC-USR0013-01,Logon
LGN0000276,01/08/2026 17:26:28,USR0013,PC-USR0013-01,Logoff
LGN0000277,01/08/2026 08:36:11,USR0014,PC-USR0014-01,Logon
LGN0000278,01/08/2026 18:14:28,USR0014,PC-USR0014-01,Logoff
LGN0000279,01/08/2026 08:30:23,USR0015,PC-USR0015-01,Logon
LGN0000280,01/08/2026 18:27:33,USR0015,PC-USR0015-01,Logoff
LGN0000281,01/08/2026 08:17:24,USR0016,PC-USR0016-01,Logon
LGN0000282,01/08/2026 17:24:40,USR0016,PC-USR0016-01,Logoff
LGN0000283,01/08/2026 08:39:09,USR0017,PC-USR0017-01,Logon
LGN0000284,01/08/2026 18:21:01,USR0017,PC-USR0017-01,Logoff
LGN0000285,01/08/2026 08:40:27,USR0018,PC-USR0018-01,Logon
LGN0000286,01/08/2026 18:20:11,USR0018,PC-USR0018-01,Logoff
LGN0000287,01/08/2026 09:37:46,USR0019,PC-USR0019-01,Logon
LGN0000288,01/08/2026 18:18:09,USR0019,PC-USR0019-01,Logoff
LGN0000289,01/08/2026 08:29:49,USR0020,PC-USR0020-01,Logon
LGN0000290,01/08/2026 18:07:16,USR0020,PC-USR0020-01,Logoff
LGN0000291,01/08/2026 08:27:16,USR0021,PC-USR0021-01,Logon
LGN0000292,01/08/2026 17:23:37,USR0021,PC-USR0021-01,Logoff
LGN0000293,01/08/2026 09:46:33,USR0022,PC-USR0022-01,Logon
LGN0000294,01/08/2026 17:07:06,USR0022,PC-USR0022-01,Logoff
LGN0000295,01/08/2026 09:16:21,USR0023,PC-USR0023-01,Logon
LGN0000296,01/08/2026 18:11:14,USR0023,PC-USR0023-01,Logoff
LGN0000297,01/08/2026 08:53:24,USR0024,PC-USR0024-01,Logon
LGN0000298,01/08/2026 18:18:28,USR0024,PC-USR0024-01,Logoff
LGN0000299,01/08/2026 09:20:16,USR0025,PC-USR0025-01,Logon
LGN0000300,01/08/2026 17:11:59,USR0025,PC-USR0025-01,Logoff
LGN0000301,01/09/2026 08:24:59,AAE0190,PC-AAE0190-01,Logon
LGN0000302,01/09/2026 17:29:34,AAE0190,PC-AAE0190-01,Logoff
LGN0000303,01/09/2026 09:52:53,USR0002,PC-USR0002-01,Logon
LGN0000304,01/09/2026 18:17:10,USR0002,PC-USR0002-01,Logoff
LGN0000305,01/09/2026 08:47:08,USR0003,PC-USR0003-01,Logon
LGN0000306,01/09/2026 17:26:08,USR0003,PC-USR0003-01,Logoff
LGN0000307,01/09/2026 08:51:47,USR0004,PC-USR0004-01,Logon
LGN0000308,01/09/2026 17:29:31,USR0004,PC-USR0004-01,Logoff
LGN0000309,01/09/2026 08:21:54,USR0005,PC-USR0005-01,Logon
LGN0000310,01/09/2026 17:21:57,USR0005,PC-USR0005-01,Logoff
LGN0000311,01/09/2026 09:18:12,USR0006,PC-USR0006-01,Logon
LGN0000312,01/09/2026 17:23:01,USR0006,PC-USR0006-01,Logoff
LGN0000313,01/09/2026 08:26:52,USR0007,PC-USR0007-01,Logon
LGN0000314,01/09/2026 18:00:29,USR0007,PC-USR0007-01,Logoff
LGN0000315,01/09/2026 09:27:43,USR0008,PC-USR0008-01,Logon
LGN0000316,01/09/2026 17:26:58,USR0008,PC-USR0008-01,Logoff
LGN0000317,01/09/2026 08:37:41,USR0009,PC-USR0009-01,Logon
LGN0000318,01/09/2026 18:08:58,USR0009,PC-USR0009-01,Logoff
LGN0000319,01/09/2026 08:30:31,USR0010,PC-USR0010-01,Logon
LGN0000320,01/09/2026 18:06:40,USR0010,PC-USR0010-01,Logoff
LGN0000321,01/09/2026 09:15:16,USR0011,PC-USR0011-01,Logon
LGN0000322,01/09/2026 18:22:46,USR0011,PC-USR0011-01,Logoff
LGN0000323,01/09/2026 09:51:36,USR0012,PC-USR0012-01,Logon
LGN0000324,01/09/2026 17:21:33,USR0012,PC-USR0012-01,Logoff
LGN0000325,01/09/2026 08:34:44,USR0013,PC-USR0013-01,Logon
LGN0000326,01/09/2026 17:07:04,USR0013,PC-USR0013-01,Logoff
LGN0000327,01/09/2026 08:19:44,USR0014,PC-USR0014-01,Logon
LGN0000328,01/09/2026 18:18:26,USR0014,PC-USR0014-01,Logoff
LGN0000329,01/09/2026 08:36:40,USR0015,PC-USR0015-01,Logon
LGN0000330,01/09/2026 17:24:23,USR0015,PC-USR0015-01,Logoff
LGN0000331,01/09/2026 08:27:04,USR0016,PC-USR0016-01,Logon
LGN0000332,01/09/2026 18:27:49,USR0016,PC-USR0016-01,Logoff
LGN0000333,01/09/2026 08:30:35,USR0017,PC-USR0017-01,Logon
LGN0000334,01/09/2026 18:26:10,USR0017,PC-USR0017-01,Logoff
LGN0000335,01/09/2026 09:33:20,USR0018,PC-USR0018-01,Logon
LGN0000336,01/09/2026 18:02:33,USR0018,PC-USR0018-01,Logoff
LGN0000337,01/09/2026 09:50:10,USR0019,PC-USR0019-01,Logon
LGN0000338,01/09/2026 17:12:12,USR0019,PC-USR0019-01,Logoff
LGN0000339,01/09/2026 09:28:46,USR0020,PC-USR0020-01,Logon
LGN0000340,01/09/2026 18:09:37,USR0020,PC-USR0020-01,Logoff
LGN0000341,01/09/2026 08:28:28,USR0021,PC-USR0021-01,Logon
LGN0000342,01/09/2026 17:26:00,USR0021,PC-USR0021-01,Logoff
LGN0000343,01/09/2026 08:26:47,USR0022,PC-USR0022-01,Logon
LGN0000344,01/09/2026 17:05:16,USR0022,PC-USR0022-01,Logoff
LGN0000345,01/09/2026 08:35:21,USR0023,PC-USR0023-01,Logon
LGN0000346,01/09/2026 18:07:00,USR0023,PC-USR0023-01,Logoff
LGN0000347,01/09/2026 08:53:47,USR0024,PC-USR0024-01,Logon
LGN0000348,01/09/2026 18:15:36,USR0024,PC-USR0024-01,Logoff
LGN0000349,01/09/2026 08:48:49,USR0025,PC-USR0025-01,Logon
LGN0000350,01/09/2026 18:23:21,USR0025,PC-USR0025-01,Logoff
LGN0000351,01/12/2026 09:48:12,AAE0190,PC-AAE0190-01,Logon
LGN0000352,01/12/2026 17:21:28,AAE0190,PC-AAE0190-01,Logoff
LGN0000353,01/12/2026 08:37:53,USR0002,PC-USR0002-01,Logon
